Nome Modello,seed,Pre fine tune,track_name,track_length_km,episodes,completion_rate,off_track_rate,stalled_rate,best_lap_time,best_time_per_km,mean_progress_ratio,mean_reward,mean_speed_kmh,mean_abs_steering_delta
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_42,42,False,Spa,7.00005029296875,1,1.0,0.0,0.0,113.30000000000001,16.185597996889395,0.9952070656858423,21084.56916699662,222.02894709163823,0.019639558871486287
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_43,43,False,Monza,5.7902021484375,1,1.0,0.0,0.0,90.0,15.543498774785732,0.9956953480986452,18178.028228785814,229.55602940681007,0.02056629720247454
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_43,43,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.80000000000001,18.079787434518984,0.9965555973202256,16560.42147454995,197.28525526772964,0.03400665696220383
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_43,43,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,98.4,16.71534987544973,0.9958596324406678,17994.271318475745,213.01206535566922,0.02271885760658519
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_43,43,False,Catalunya,4.64984375,1,1.0,0.0,0.0,86.60000000000001,18.62428172989684,0.9964835217917268,14560.620971673945,191.23592823260898,0.027661815513673887
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_43,43,False,Spa,7.00005029296875,1,0.0,1.0,0.0,,,0.965931536624702,19286.277854716438,220.67177623681752,0.021834424061600886
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_44,44,False,Monza,5.7902021484375,1,1.0,0.0,0.0,89.30000000000001,15.42260489542629,0.9963688828464436,18189.09865186608,231.8132619154328,0.017490503886111772
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_44,44,False,Melbourne,5.29873486328125,1,1.0,0.0,0.0,95.60000000000001,18.042042575574268,0.996357012918307,16471.516399235552,197.44107716918603,0.028279169747083756
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_44,44,False,Silverstone,5.8868046875,1,1.0,0.0,0.0,100.4,17.055092759097082,0.9950470198842485,18289.04332258039,208.53022299644255,0.02056869713448552
ppo_f1_256_256_128_64_32_multitrack_continued_Monza_random_start_lr_1e-04_seed_44,44,False,Catalunya,4.64984375,1,0.0,1.0,0.0,,,0.7486349192681205,9820.984816237027,201.99204299251258,0.022819152062755796
